Requirement,Clause ID,Description,Mapped Reference Model Function(s),Traceability,Explainability,Evidence Integrity,Adaptability,Action Governance,Reasoning,,,
,1.3.1,Inbound traffic to the CDE is restricted to only traffic that is necessary; all other traffic is specifically denied.,Control Implementation Validation,Specified → Rule-sets map “necessary” services to allow rules; everything else to deny = traceable policy→enforcement.,Indirect → Necessity rationale can be documented; not required.,Indirect → Evidence via configs/logs; immutability not specified.,"Indirect → As requirements change, rules change; cadence not specified.",Specified → Enforcing allow-list/deny-all is governance.,Indirect → Determining “necessary” uses reasoning; method not mandated.,,,
,1.3.2,Outbound traffic from the CDE is restricted to only traffic that is necessary; all other traffic is specifically denied.,Control Implementation Validation,Specified → Same as 1.3.1 for egress mappings.,Indirect → As above.,Indirect → As above.,Indirect → As above.,Specified → As above.,Indirect → As above.,,,
,1.3.3,NSCs are installed between all wireless networks and the CDE such that all wireless traffic from wireless networks into the CDE is denied by default and only authorized traffic is allowed.,Control Implementation Validation,Specified → Placement and default-deny create an explicit path→control lineage.,Indirect → Allowed set can be explained; not required.,Indirect → Config/log artefacts exist; no immutability duty.,Indirect → Allowed set must evolve with business needs.,Specified → Deployment/allow-list approval is governance.,Indirect → Defining “authorised” traffic requires reasoning.,,,
,1.4.1,NSCs are implemented between trusted and untrusted networks.,Control Implementation Validation,Indirect → Topology→control mapping is inherent; not mandated as an artefact.,Not specified,Indirect → Deployment records exist; integrity not required.,"Indirect → As zones change, placement may adjust.",Specified → Implementation choice is governance.,Indirect → Determining trust boundaries involves reasoning.,,,
,1.4.2,Inbound traffic from untrusted networks to trusted networks is restricted to authorized communications or stateful responses; all other traffic is denied.,Control Implementation Validation,Specified → Authorised comms/stateful rules map directly to enforcement objects.,Indirect → Criteria for “authorised” can be expressed; not required.,Indirect → Evidence via configs/logs; no integrity mandate.,Indirect → Rules evolve with services.,Specified → Deny-all with exceptions is governed.,Indirect → Determining authorisations requires reasoning.,,,
,1.4.3,Anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.,Continuous Monitoring and Anomaly Detection; Control Implementation Validation,Indirect → Measure→event→block chain can be recorded; not mandated.,Indirect → Rationale for measures is explainable; no duty.,Indirect → Logs of detections/blocks exist; immutability not stated.,Indirect → Tuning evolves with tactics.,Specified → “Implemented” detection/blocking is a governed control.,Specified → Detecting and deciding what to block uses structured logic against signatures/heuristics.,,,
,1.4.4,System components that store cardholder data are not directly accessible from untrusted networks.,Control Implementation Validation,Specified → Network segmentation/isolation maps assets→controls preventing direct access.,Indirect → Rationale is reviewable via design; not mandated.,Indirect → Evidence via diagrams/configs; integrity not stated.,Indirect → Segmentation adapts with environment.,Specified → Enforcing isolation is governance.,Indirect → Determining “direct access” scenarios involves reasoning.,,,
,1.4.5,The disclosure of internal IP addresses and routing information is limited to only authorized parties.,Control Implementation Validation,Indirect → Mapping info classes→authorised parties possible; not required.,Indirect → Justification can be provided; not required.,Indirect → Access controls/logs exist; integrity not specified.,Indirect → Authorised party list changes over time.,Specified → Limitation/authorisation is a governance function.,Indirect → Determining who is “authorised” requires reasoning.,,,
,1.5.1,"Security controls are implemented on any computing devices that connect to both untrusted networks and the CDE, with defined configuration settings, actively running controls, and restrictions on user alteration.",Control Implementation Validation; Continuous Monitoring and Anomaly Detection,Specified → Device→required control→config linkage is explicit in the text.,Indirect → Defined settings make choices reviewable; no explain duty.,Indirect → Control/config evidence exists; immutability not required.,"Indirect → As threats/platforms change, settings/controls must adjust.",Specified → Enforcing configs and preventing user alteration is governance.,Indirect → Choosing which controls/settings apply involves structured evaluation.,,,
2: Apply secure configurations to all system components,2.1.1,"All security policies and operational procedures that are identified in Requirement 2 are documented, kept up to date, in use, and known to all affected parties.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documented→in-use→known creates a policy→procedure→practice lineage.,Indirect : Communication aids human understanding; no duty to justify choices.,Indirect : Records must exist; immutability/tamper-evidence not stated.,Specified : “Kept up to date” mandates revision with change.,Specified : Ensuring use/awareness is a governance obligation.,Indirect,Deciding updates/applicability requires evaluation; no formal inference steps mandated.,,
,2.1.2,"Roles and responsibilities for performing activities in Requirement 2 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documented role→activity mapping is explicit lineage to accountable owners.,Indirect : “Understood” supports clarity; no formal explanation duty.,Indirect : Role records exist; integrity controls not stated.,Indirect : Roles may change; cadence not mandated.,Specified : “Assigned” is formal delegation/authority.,Indirect,Matching responsibilities to activities needs judgement; method not prescribed.,,
,2.2.1,"Configuration standards are developed, implemented, and maintained to cover all system components; address all known vulnerabilities; align with industry-accepted hardening standards or vendor recommendations; be updated as new vulnerability issues are identified; and be applied before or immediately after connection to production.",Vulnerability and Risk Assessments (VA-RA); Control Implementation Validation,Specified : Standards map requirements/threats→config baselines and deployment.,Indirect : Referencing standards improves comprehension; no explicit justification duty.,Indirect : Standard/baseline artefacts exist; immutability not required.,Specified : “Maintained… updated as new vulnerability issues” = continuous adaptation.,Specified : Develop/implement/approve/apply = governance gates.,Indirect,Selecting controls and mapping vulnerabilities to baselines requires structured judgement; steps not mandated.,,
,2.2.2,"Vendor default accounts are managed: if used, the default password is changed per Requirement 8.3.6; if not used, the account is removed or disabled.",Control Implementation Validation; Evidence Collection and Management,Specified : Account state→control action mapping is explicit (change/remove/disable).,Indirect : Rationale is implicit (harden defaults); explanation not mandated.,Indirect : Proof of change/disable exists; integrity not specified.,"Indirect : As accounts/features change, actions must follow.",Specified : “Managed… changed/removed/disabled” = governed enforcement.,Indirect,Choosing change/remove/disable paths and validating outcomes involves analysis; criteria referenced but not required to be justified.,,
,2.2.3,"Primary functions requiring different security levels are separated, isolated, or all secured to the level required by the function with the highest security need.",Control Implementation Validation; Evidence Collection and Management,Indirect : Mapping functions→segregation level can be recorded; not mandated.,Indirect : “Highest security need” conveys rationale; no explicit explanation duty.,Indirect : Designs/configs provide evidence; integrity not stated.,Indirect : Security needs evolve with services.,Specified : Separation/isolating to highest level is a governance decision.,Indirect,Assessing security levels and deciding separation vs. uplifting to highest need is risk reasoning; not mandated.,,
,2.2.4,"Only necessary services, protocols, daemons, and functions are enabled; all unnecessary functionality is removed or disabled.",Vulnerability and Risk Assessments (VA-RA); Control Implementation Validation,Specified : Necessity mapping (need→enable) is explicit and traceable.,Indirect : “Necessity” can be justified; duty not required.,Indirect : Artefacts exist (allow lists/configs); immutability not stated.,Indirect : Necessity changes with business/tech.,Specified : Enable/disable decisions under policy = governance.,Indirect,Determining “necessary” functionality involves business/technical judgement; justification not required.,,
,2.2.5,"If any insecure services, protocols, or daemons are present, business justification is documented and additional mitigating security features are implemented.",Vulnerability and Risk Assessments (VA-RA); Control Implementation Validation,Specified : Documented justification→mitigation creates a clear lineage from risk to control.,"Specified : Justification must be documented, making the rationale explicit.",Indirect : Evidence of justification/mitigation exists; integrity not mandated.,"Indirect : As risks change, justifications/mitigations must update.",Specified : Implementing mitigations under approval is governance.,Specified,Documented business justification plus selecting mitigations is an explicit reasoning duty.,,
,2.2.6,System security parameters are configured to prevent misuse.,Control Implementation Validation,Indirect : Parameters→misuse cases mapping can be recorded; not required.,Indirect : Rationale exists (prevent misuse); no explanation duty.,Indirect : Config evidence exists; immutability not stated.,Indirect : Parameters evolve with threats.,Specified : Configuration enforcement is governance.,Indirect,Selecting parameters to prevent misuse entails threat-informed judgement; no formal method required.,,
,2.2.7,All non-console administrative access is encrypted using strong cryptography.,Control Implementation Validation,Specified : Requirement maps admin channel→encryption controls directly.,Indirect : Choice of methods can be explained; not required.,Indirect : Config/proof exists; integrity not mandated.,Indirect : Crypto settings evolve with standards.,Specified : Enforcing encryption is a governance control.,Indirect,Choosing strong cryptographic mechanisms for admin channels requires technical judgement; not mandated.,,
,2.3.1,"For wireless environments connected to the CDE or transmitting account data, all wireless vendor defaults (e.g., encryption keys, AP passwords, SNMP) are changed or confirmed secure.",Control Implementation Validation,Specified : Defaults→action (change/confirm secure) is explicit and traceable.,Indirect : “Confirmed secure” rationale can be explained; not required.,Indirect : Evidence of change/verification exists; integrity not stated.,Indirect : Keys/settings must change with staff/risks.,Specified : Change/verification under policy = governance.,Indirect,Evaluating whether defaults are “secure” and deciding change vs. keep involves analysis; no narrative duty.,,
,2.3.2,"For wireless environments connected to the CDE or transmitting account data, wireless encryption keys are changed whenever personnel with knowledge of the key leave the company/role, or when a key is suspected or known to be compromised.",Control Implementation Validation,Specified : Trigger→action mapping (departures/compromise→change keys) is explicit.,Indirect : Rationale is evident; no narrative duty.,Indirect : Key change records exist; integrity not mandated.,Specified : Explicit triggers impose adaptive rotation.,Specified : Enforcing rotation on triggers is governance.,Indirect,"Applying trigger logic (leaver/compromise → rotate) uses assessment, but no explicit reasoning artefact.",,
3: Protect stored account data,3.1.1,"All security policies and operational procedures that are identified in Requirement 3 are documented, kept up to date, in use, and known to all affected parties.",Requirement-to-Control Mapping and Gap Analysis,Specified : Policy→procedure→practice lineage for stored data controls.,Indirect : Awareness aids understanding; no explicit justification duty.,Indirect : Records exist; immutability not stated.,Specified : “Kept up to date” mandates adaptation.,Specified : Ensuring use/awareness is governance.,Indirect,Deciding updates/applicability requires evaluation; no formal inference steps mandated.,,
,3.1.2,"Roles and responsibilities for performing activities in Requirement 3 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documented role→activity mapping to owners.,Indirect : “Understood” helps reviewers; no explicit explanation duty.,Indirect : Role records exist; integrity not stated.,Indirect : Roles may change; cadence not set.,Specified : Assignment is governance.,Indirect,Allocating roles to activities requires judgement; method not prescribed.,,
,3.2.1,"Account data storage is kept to a minimum through retention and disposal policies covering all storage locations, SAD before authorisation, defined retention periods, secure deletion, and quarterly verification.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified : Policies/verification map data→location→retention→deletion lineage.,Indirect : Policies/verification reports make approach understandable.,Specified : “Secure deletion” and verification imply integrity of deletion evidence.,Specified : “Kept to a minimum” with periodic verification mandates continuous adjustment.,Specified : Enforcing retention/deletion and running verification is governance.,Indirect,Defining “minimum” and verifying retention/disposal involves analysis; justification not required.,,
,3.3.1,Sensitive authentication data (SAD) is not stored after authorisation; all SAD received is rendered unrecoverable upon completion of the authorisation process.,Control Implementation Validation; Evidence Collection and Management,Specified : Event (authorisation)→action (no store/unrecoverable) creates clear lineage.,Indirect : Rationale is inherent (reduce risk); no narrative duty.,Specified : “Unrecoverable” requires integrity of sanitisation evidence.,Indirect : Process must keep pace with flows; cadence implicit.,Specified : Enforcing non-retention is governance.,Indirect,Choosing mechanisms to render SAD unrecoverable entails technical reasoning; not mandated.,,
,3.3.1.1,The full contents of any track are not stored upon completion of the authorisation process.,Control Implementation Validation; Evidence Collection and Management,Specified : Track data→no-store mapping is explicit.,Not specified,Indirect : Artefacts of verification exist; integrity not stated here (covered in 3.3.1).,Indirect : Applies whenever flows change.,Specified : Enforcing prohibition is governance.,Not specified,Pure prohibition; no reasoning requirement.,,
,3.3.1.2,Card verification codes are not stored upon completion of the authorisation process.,Control Implementation Validation; Evidence Collection and Management,Specified : CVC→no-store mapping explicit.,Not specified,Indirect : Verification artefacts exist; integrity not specified here.,Indirect : As above.,Specified : Enforcing prohibition is governance.,Not specified,Pure prohibition; no reasoning requirement.,,
,3.3.1.3,PINs and PIN blocks are not stored upon completion of the authorisation process.,Control Implementation Validation; Evidence Collection and Management,Specified : PIN/PIN block→no-store mapping explicit.,Not specified,Indirect : Verification artefacts exist; integrity not specified here.,Indirect : As above.,Specified : Enforcing prohibition is governance.,Not specified,Pure prohibition; no reasoning requirement.,,
,3.3.2,SAD stored electronically prior to authorisation is encrypted using strong cryptography.,Control Implementation Validation,Specified : SAD (pre-auth)→encryption mapping explicit.,Indirect : Choice of crypto can be explained; not required.,Indirect : Evidence of encryption exists; integrity not mandated.,Indirect : Crypto posture evolves.,Specified : Enforcing strong crypto is governance.,Indirect,Selecting and configuring “strong cryptography” requires technical judgement; not mandated.,,
,3.3.3,Additional requirement for issuers: any SAD storage is limited to legitimate business needs and is secured with strong cryptography.,Evidence Collection and Management; Control Implementation Validation,Specified : Business need→allowance; strong crypto→control linkage.,Indirect : “Legitimate business need” improves explainability.,Indirect : Evidence of need and crypto exists; immutability not stated.,Indirect : Needs and crypto standards change.,Specified : Approving storage and enforcing crypto is governance.,Indirect,Determining “legitimate business need” and enforcing crypto involves reasoning; documentation not required.,,
,3.4.1,"PAN is masked when displayed (only BIN and last four digits), with full PAN visible only to roles with documented business need.",Control Implementation Validation; Evidence Collection and Management,Specified : Display state→masking rules→role mapping is explicit and traceable.,Indirect : Business-need documentation supports interpretation.,Indirect : Display logs/configs exist; integrity not mandated.,Indirect : Needs may change; controls must follow.,Specified : Role-based visibility and masking enforcement are governance.,Indirect,Determining roles with business need and setting masking exceptions needs judgement; no formal explanation duty.,,
,3.4.2,"When using remote-access technologies, technical controls prevent copy/relocation of PAN except for explicitly authorised personnel with legitimate business need.",Control Implementation Validation,Specified : Control rules map role/need→allow; others→prevent.,Indirect : “Legitimate need” provides explainability; no duty.,Indirect : Enforcement artefacts exist; integrity not stated.,Indirect : Need/roles change; rules must adapt.,Specified : Allow/deny enforcement is governance.,Indirect,Deciding who is “explicitly authorised” with legitimate need involves reasoning; not mandated.,,
,3.5.1,"PAN is rendered unreadable wherever stored using one-way hashes, truncation, tokens, or strong encryption with key management.",Control Implementation Validation,Specified : Storage→method mapping explicit.,Indirect : Choice among methods is explainable; not required.,Specified : Use of crypto/tokens implies integrity and authenticity of protection artefacts and keys.,"PAN is rendered unreadable wherever stored using one-way hashes, truncation, tokens, or strong encryption with key management.",Control Implementation Validation,Specified : Storage→method mapping explicit.,Indirect : Choice among methods is explainable; not required.,Specified : Use of crypto/tokens implies integrity and authenticity of protection artefacts and keys.,"PAN is rendered unreadable wherever stored using one-way hashes, truncation, tokens, or strong encryption with key management."
,3.5.1.1,"Hashes used to render PAN unreadable are keyed cryptographic hashes of the entire PAN, with key management processes per 3.6 and 3.7.",Control Implementation Validation,Specified : Method→constraints→key management linkage explicit.,Indirect : Rationale is clear; no narrative duty.,Specified : Key management linkage supports integrity of protection.,"Hashes used to render PAN unreadable are keyed cryptographic hashes of the entire PAN, with key management processes per 3.6 and 3.7.",Control Implementation Validation,Specified : Method→constraints→key management linkage explicit.,Indirect : Rationale is clear; no narrative duty.,Specified : Key management linkage supports integrity of protection.,"Hashes used to render PAN unreadable are keyed cryptographic hashes of the entire PAN, with key management processes per 3.6 and 3.7."
,3.5.1.2,"If disk-level or partition-level encryption is used, it applies only to removable media, or else PAN is also rendered unreadable by another approved method.",Control Implementation Validation,Specified : Architecture choice→additional control mapping explicit.,Indirect : Rationale is interpretable; no duty.,Indirect : Evidence of dual protections exists; integrity not stated.,Indirect : Controls evolve with storage design.,Specified : Applying additional method is governance.,Indirect,Selecting additional encryption or compensating controls involves evaluation; method not prescribed.,,
,3.5.1.3,"If disk/partition encryption is used, logical access is separate from OS auth, keys are not tied to user accounts, and access factors are securely stored.",Control Implementation Validation,Specified : Separation of duties and key handling rules mapped to control design.,Indirect : Rationale is clear (avoid single-point compromise).,Indirect : Artefacts/configs exist; integrity not mandated.,Indirect : Design evolves.,Specified : Enforcing separation and key handling is governance.,Indirect,Designing separation of auth and key handling requires structured reasoning to avoid coupling; not mandated.,,
,3.6.1,"Procedures protect cryptographic keys against disclosure/misuse: access limited to custodians, key-encrypting keys as strong as data keys, stored separately and securely.",Control Implementation Validation,Specified : Key management rules map risks→controls.,Indirect : Rationale is evident; no explanation duty.,Specified : Storage/separation imply integrity and authenticity of key material.,Indirect : Practices evolve with risk/tech.,Specified : Enforcing procedures is governance.,Indirect,Applying key protection principles and mapping risks to control strength involves judgement; no formal reasoning artefact required.,,
,3.6.1.1,"Service providers maintain documentation of the cryptographic architecture (algorithms, keys, expiry, key usage, HSM/KMS inventory).",Evidence Collection and Management,Specified : Architecture docs provide full key→use→lifecycle lineage.,Indirect : Docs increase explainability; no explicit justification duty.,Indirect : Docs must exist; immutability not required.,Indirect : Architecture evolves; docs must be updated.,Indirect : Governance implied; approvals not stated.,Indirect,Documenting cryptographic architecture and ensuring completeness involves analytical reasoning; not mandated.,,
,3.6.1.2,"Secret/private keys are stored only as encrypted with KEK, within secure devices (HSM/PTS), or as two or more key shares.",Control Implementation Validation,Specified : Storage method→control mapping explicit.,Not specified,Specified : Secure storage methods imply integrity and authenticity of key custody.,Indirect : Methods may change with tech.,Specified : Enforcing storage constraints is governance.,Indirect,Selecting secure storage method and key-splitting mechanism reflects design reasoning; not required to justify.,,
,3.6.1.3,Access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary.,Control Implementation Validation,Specified : Custodian→access rule mapping explicit.,Indirect : “Fewest necessary” provides understandable intent.,Indirect : Access logs/controls exist; integrity not mandated.,Indirect : Custodian set may change.,Specified : Restricting access is governance.,Indirect,Determining minimal custodian set requires risk-based reasoning; process not formalised.,,
,3.6.1.4,Cryptographic keys are stored in the fewest possible locations.,Control Implementation Validation,Indirect : Locations→policy mapping can be recorded; not mandated.,Indirect : Rationale is clear (reduce exposure).,Indirect : Evidence of locations exists; integrity not stated.,Indirect : Locations may change.,Specified : Enforcing consolidation is governance.,Indirect,Assessing where keys are stored and consolidating to reduce exposure involves reasoning; not required.,,
,3.7.1,Key management policies include generation of strong cryptographic keys.,Requirement-to-Control Mapping and Gap Analysis; Control Implementation Validation,Specified : Policy→control linkage for key generation is explicit.,Indirect : “Strong” is explainable via criteria; no duty.,Indirect : Artefacts exist; integrity not mandated.,Indirect : Strength criteria evolve.,Specified : Approving policies and enforcing is governance.,Indirect,Defining what constitutes “strong” key generation criteria requires technical reasoning; not mandated.,,
,3.7.2,Key management policies include secure distribution of cryptographic keys.,Requirement-to-Control Mapping and Gap Analysis; Control Implementation Validation,Specified : Policy→distribution controls mapping explicit.,Indirect : Rationale can be explained; not required.,Indirect : Evidence of secure distribution exists; integrity not stated.,Indirect : Distribution methods evolve.,Specified : Policy enforcement is governance.,Indirect,Designing secure distribution paths and validating them involves procedural reasoning; not required.,,
,3.7.3,Key management policies include secure storage of cryptographic keys.,Requirement-to-Control Mapping and Gap Analysis; Control Implementation Validation,Specified : Policy→storage controls mapping explicit.,Indirect : Rationale is clear; no explanation duty.,Indirect : Storage evidence exists; integrity likely implied elsewhere.,Indirect : Storage approaches evolve.,Specified : Policy enforcement is governance.,Indirect,Defining secure storage methods and linking to policy involves reasoning; not mandated.,,
,3.7.4,Key management policies include retirement or replacement of cryptographic keys at end of cryptoperiod.,Requirement-to-Control Mapping and Gap Analysis; Control Implementation Validation,Specified : Cryptoperiod end→retire/replace mapping explicit.,Indirect : Lifecycle rationale is understandable.,Indirect : Rotation records exist; integrity not mandated.,Specified : Lifecycle rotation enforces adaptation.,Specified : Enforcing rotation schedules is governance.,Indirect,Deciding retirement or replacement timing and implementing cryptoperiod logic uses lifecycle reasoning; no explicit requirement.,,
,3.7.5,"Key management policies include retirement, replacement, or destruction of keys when compromised, expired, or weakened.",Requirement-to-Control Mapping and Gap Analysis; Control Implementation Validation,Specified : Trigger (compromise/expired/weakened)→action mapping explicit.,Indirect : Justification inherent; no narrative duty.,Indirect : Evidence of actions exists; integrity not specified.,Specified : Triggered adaptation mandated.,Specified : Executing these actions is governance.,Indirect,Applying triggers (compromise/expiry/weakening) to select replacement actions involves analytical reasoning; not mandated.,,
,3.7.6,Manual cleartext key operations use split knowledge and dual control so no individual can reconstruct a key.,Control Implementation Validation,Specified : Controls→objective mapping explicit (split knowledge/dual control).,Indirect : Rationale is clear; no explanation duty.,Specified : Dual control/split knowledge imply integrity of custody and operations evidence.,Indirect : Practices evolve.,Specified : Enforcing dual control is governance.,Indirect,Implementing split knowledge and dual control reflects explicit logical reasoning against single-point compromise; not required to document.,,
,3.7.7,Key management policies prevent unauthorised substitution of cryptographic keys.,Requirement-to-Control Mapping and Gap Analysis; Control Implementation Validation,Specified : Policy→anti-substitution controls mapping explicit.,Indirect : Rationale is clear; no duty.,Indirect : Evidence of controls exists; integrity not specified.,Indirect : Controls evolve with threats.,Specified : Enforcing policy is governance.,Indirect,Designing and enforcing anti-substitution mechanisms requires reasoning; not formally required.,,
,3.7.8,Key custodians formally acknowledge responsibilities in writing/electronically.,Evidence Collection and Management,Specified : Acknowledgement provides custodian→duty lineage.,Indirect : Acknowledgement text aids understanding.,Indirect : Signed/recorded acknowledgements exist; integrity not mandated here.,Indirect : Custodian set may change.,Specified : Formal acknowledgement is a governance step.,Indirect,Confirming custodian responsibility and mapping accountability involves reasoning; documentation serves evidence.,,
,3.7.9,"Service providers provide customers guidance on secure transmission, storage, and updating of shared cryptographic keys.",Requirement-to-Control Mapping and Gap Analysis; Evidence Collection and Management,Indirect : Guidance maps provider practices→customer controls; not mandated as trace.,Indirect : Guidance improves explainability to customers.,Indirect : Guidance artefacts exist; immutability not required.,Indirect : Guidance must evolve with practices.,Specified : Providing and maintaining guidance is a governance commitment.,Indirect,Developing customer guidance on secure key handling requires reasoning about threat models and usability; not mandated.,,
4: Protect cardholder data during transmission,4.1.1,"All security policies and operational procedures that are identified in Requirement 4 are documented, kept up to date, in use, and known to all affected parties.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documented→in-use→known forms policy→procedure→practice lineage.,Indirect : Awareness aids understanding; no explicit justification duty.,Indirect : Records exist; immutability not stated.,Specified : “Kept up to date” mandates revision with change.,Specified : Ensuring use/awareness is a governance obligation.,Indirect : Deciding updates/applicability requires evaluation.,,,
,4.1.2,"Roles and responsibilities for performing activities in Requirement 4 are documented, assigned, and understood.",Requirement-to-Control Mapping and Gap Analysis,Specified : Documented role→activity mapping to accountable owners.,Indirect : “Understood” supports clarity; no formal explanation required.,Indirect : Role records exist; integrity not stated.,Indirect : Roles can change; cadence not mandated.,Specified : “Assigned” = formal delegation.,Indirect : Allocation choices involve reasoning.,,,
,4.2.1,"Strong cryptography and security protocols are implemented to safeguard PAN over open, public networks (trusted keys/certificates, validate certs, disable insecure versions/fallbacks, appropriate encryption strength).",Control Implementation Validation,Specified : Mandates direct mapping PAN-in-transit→crypto/protocol controls.,Indirect : Choices are reviewable; no duty to narrate rationale.,Indirect : Config/validation records exist; immutability not stated.,Indirect : Disabling insecure versions/choosing strength implies posture must evolve.,Specified : Implement/enforce crypto settings is governance.,Indirect : Selecting protocols/strengths requires structured judgement.,,,
,4.2.1.1,An inventory of the entity’s trusted keys and certificates used to protect PAN during transmission is maintained.,Evidence Collection and Management,Specified : Inventory provides key/cert→flow lineage for audit.,Indirect : Inventory improves interpretability.,Indirect : Inventory exists; integrity not mandated.,Specified : “Maintained” = keep current.,Indirect : Maintenance governed; approvals not explicit.,Indirect : Curation requires evaluation; no formal method.,,,
